iter	Passed	Remaining
0	202	201869
1	258	128920
2	307	102336
3	356	88755
4	403	80237
5	449	74403
6	497	70513
7	544	67566
8	591	65175
9	638	63224
10	684	61551
11	731	60226
12	779	59186
13	832	58658
14	878	57688
15	933	57408
16	979	56641
17	1026	56007
18	1077	55614
19	1123	55046
20	1171	54612
21	1216	54076
22	1263	53681
23	1311	53327
24	1360	53057
25	1406	52682
26	1451	52315
27	1499	52041
28	1546	51772
29	1594	51550
30	1641	51310
31	1688	51078
32	1729	50671
33	1775	50449
34	1824	50306
35	1876	50240
36	1927	50159
37	1973	49958
38	2020	49776
39	2064	49550
40	2112	49409
41	2160	49284
42	2210	49190
43	2257	49051
44	2308	48995
45	2357	48893
46	2403	48742
47	2458	48769
48	2513	48784
49	2564	48726
50	2623	48825
51	2672	48721
52	2723	48658
53	2774	48603
54	2822	48502
55	2876	48490
56	2926	48418
57	2963	48130
58	3013	48062
59	3064	48015
60	3111	47898
61	3157	47765
62	3207	47711
63	3256	47632
64	3303	47514
65	3355	47482
66	3413	47527
67	3464	47485
68	3511	47377
69	3561	47318
70	3613	47285
71	3663	47220
72	3708	47094
73	3756	47005
74	3802	46891
75	3847	46774
76	3893	46673
77	3943	46611
78	3996	46596
79	4045	46527
80	4109	46620
81	4192	46934
82	4269	47167
83	4325	47173
84	4376	47107
85	4427	47059
86	4484	47059
87	4537	47023
88	4589	46973
89	4649	47007
90	4710	47050
91	4775	47129
92	4829	47102
93	4875	46995
94	4922	46893
95	4969	46796
96	5019	46725
97	5108	47020
98	5167	47027
99	5215	46936
100	5265	46865
101	5315	46794
102	5365	46723
103	5413	46638
104	5462	46558
105	5508	46455
106	5556	46375
107	5604	46291
108	5653	46215
109	5697	46099
110	5743	46002
111	5794	45942
112	5840	45843
113	5885	45739
114	5934	45670
115	5983	45594
116	6034	45546
117	6084	45479
118	6157	45584
119	6214	45575
120	6264	45508
121	6313	45438
122	6365	45385
123	6415	45319
124	6465	45259
125	6516	45198
126	6567	45141
127	6618	45088
128	6668	45022
129	6715	44942
130	6763	44867
131	6811	44789
132	6861	44726
133	6903	44614
134	6953	44555
135	6998	44462
136	7045	44383
137	7093	44310
138	7142	44240
139	7189	44165
140	7236	44085
141	7281	43998
142	7327	43914
143	7374	43837
144	7425	43785
145	7473	43712
146	7517	43624
147	7566	43559
148	7614	43487
149	7661	43413
150	7709	43346
151	7755	43267
152	7801	43190
153	7846	43104
154	7892	43028
155	7940	42961
156	7990	42905
157	8035	42822
158	8085	42769
159	8133	42699
160	8182	42639
161	8231	42581
162	8278	42511
163	8323	42428
164	8366	42341
165	8412	42267
166	8459	42194
167	8507	42132
168	8556	42072
169	8602	41998
170	8647	41922
171	8691	41839
172	8736	41762
173	8781	41685
174	8827	41614
175	8875	41552
176	8921	41484
177	8968	41416
178	9014	41344
179	9063	41290
180	9110	41224
181	9160	41170
182	9206	41101
183	9253	41035
184	9295	40952
185	9339	40870
186	9381	40786
187	9425	40709
188	9472	40647
189	9523	40599
190	9571	40541
